Título,Precio,Ubicación,Enlace
Local en arriendo,$8.500.000,"Calle 108 #48-31, Pasadena, Suba, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2412030402-se-arrienda-hermoso-local-en-pasadena-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$6.500.000,"Restrepo, Antonio Nariño, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2341044846-local-de-60-m2-en-arriendo-sector-restrepo-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$5.000.000,"Calle 18 #13-27, La Capuchina, Santa Fe, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2412204694-hermoso-local-de-380m2-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$14.300.000,"Restrepo, Restrepo, Antonio Nariño, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2453459486-arriendo-local-restrepo-bogota-ideal-restaurante-o-tienda-de-cadena-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$18.000.000,"Santa Bárbara Central, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1462890227-arriendo-estupendo-local-comercial-cerca-de-unicentro-sta-barbara-2--_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$35.000.000,"Santa Paula, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2392408492-local-calle-109-con-av-19-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$15.000.000,"Calle 66 #28-26, Siete De Agosto, Barrios Unidos, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1411551243-locales-oficinas-o-consultorios-para-renta-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$16.000.000,"Niza, Suba, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1363389945-arriendo-local-150-50-mz-cc-bulevar-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$6.500.000,"Chapinero Central, Chapinero, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1453968731-local-en-arriendo-en-chapinero-central-cod-a51330-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$13.016.000,"Occidente - Bogotá, Fontibón, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2257700740-local-vitrina-comercial-av-las-americas-bogota-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$12.500.000,"Fontibón, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2251434108-local-comercial-fontibon-bogota-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$7.000.000,"Puente Aranda, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1424696333-local-en-arriendo-sector-puente-aranda-bogota-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$2.200.000,"Callé 26 SN, Teusaquillo, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1346757115-se-arriendan-localbodegaapartamento-2-piso-centro-internacional-barrio-teusaquillo-bodega-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$15.000.000,"Santa Barbara Oriental, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1448734353-arriendo-local-vitrina-comercial-terraza-sta-barbara-or-11--_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$1.800.000.000,"Santa Margarita, Suba, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1423012715-venta-local-de-300-metros-barrio-santa-margarita-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
